loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 2 9a:58:2b:5f:b7:89 33:33:00:00:00:16 1
packet in 2 9a:58:2b:5f:b7:89 33:33:00:00:00:02 1
packet in 1 9a:58:2b:5f:b7:89 33:33:00:00:00:16 2
packet in 1 9a:58:2b:5f:b7:89 33:33:00:00:00:02 2
packet in 3 9a:58:2b:5f:b7:89 33:33:00:00:00:16 2
packet in 3 9a:58:2b:5f:b7:89 33:33:00:00:00:02 2
packet in 2 c6:2f:84:93:c0:63 33:33:00:00:00:fb 2
packet in 3 c6:2f:84:93:c0:63 33:33:00:00:00:fb 2
packet in 2 c6:2f:84:93:c0:63 33:33:00:00:00:16 2
packet in 3 c6:2f:84:93:c0:63 33:33:00:00:00:16 2
packet in 2 c6:2f:84:93:c0:63 33:33:00:00:00:fb 2
packet in 3 c6:2f:84:93:c0:63 33:33:00:00:00:fb 2
packet in 2 ba:4c:26:c7:6c:eb 33:33:00:00:00:fb 3
packet in 1 ba:4c:26:c7:6c:eb 33:33:00:00:00:fb 2
packet in 1 86:bc:3f:63:72:11 33:33:00:00:00:fb 2
packet in 3 82:8e:31:ff:a4:c9 33:33:00:00:00:fb 2
packet in 2 ba:4c:26:c7:6c:eb 33:33:00:00:00:16 3
packet in 1 ba:4c:26:c7:6c:eb 33:33:00:00:00:16 2
packet in 3 2e:c2:84:ee:a4:be 33:33:00:00:00:16 1
packet in 2 2e:c2:84:ee:a4:be 33:33:00:00:00:16 3
packet in 1 2e:c2:84:ee:a4:be 33:33:00:00:00:16 2
packet in 2 c6:2f:84:93:c0:63 33:33:00:00:00:fb 2
packet in 3 c6:2f:84:93:c0:63 33:33:00:00:00:fb 2
packet in 2 c6:2f:84:93:c0:63 33:33:00:00:00:16 2
packet in 3 c6:2f:84:93:c0:63 33:33:00:00:00:16 2
packet in 2 ba:4c:26:c7:6c:eb 33:33:00:00:00:fb 3
packet in 1 ba:4c:26:c7:6c:eb 33:33:00:00:00:fb 2
packet in 1 86:bc:3f:63:72:11 33:33:00:00:00:fb 2
packet in 3 82:8e:31:ff:a4:c9 33:33:00:00:00:fb 2
packet in 3 82:8e:31:ff:a4:c9 33:33:00:00:00:16 2
packet in 2 c6:2f:84:93:c0:63 33:33:00:00:00:fb 2
packet in 3 c6:2f:84:93:c0:63 33:33:00:00:00:fb 2
packet in 2 9a:58:2b:5f:b7:89 33:33:00:00:00:16 1
packet in 1 9a:58:2b:5f:b7:89 33:33:00:00:00:16 2
packet in 3 9a:58:2b:5f:b7:89 33:33:00:00:00:16 2
packet in 1 86:bc:3f:63:72:11 33:33:00:00:00:fb 2
packet in 3 82:8e:31:ff:a4:c9 33:33:00:00:00:fb 2
packet in 2 c6:2f:84:93:c0:63 33:33:00:00:00:fb 2
packet in 3 c6:2f:84:93:c0:63 33:33:00:00:00:fb 2
packet in 1 86:bc:3f:63:72:11 33:33:00:00:00:16 2
packet in 1 86:bc:3f:63:72:11 33:33:00:00:00:fb 2
packet in 3 82:8e:31:ff:a4:c9 33:33:00:00:00:fb 2
packet in 2 c6:2f:84:93:c0:63 33:33:00:00:00:fb 2
packet in 3 c6:2f:84:93:c0:63 33:33:00:00:00:fb 2
packet in 2 ba:4c:26:c7:6c:eb 33:33:00:00:00:fb 3
packet in 1 ba:4c:26:c7:6c:eb 33:33:00:00:00:fb 2
packet in 1 86:bc:3f:63:72:11 33:33:00:00:00:fb 2
packet in 3 82:8e:31:ff:a4:c9 33:33:00:00:00:fb 2
packet in 2 c6:2f:84:93:c0:63 33:33:00:00:00:fb 2
packet in 3 c6:2f:84:93:c0:63 33:33:00:00:00:fb 2
packet in 2 ba:4c:26:c7:6c:eb 33:33:00:00:00:fb 3
packet in 1 ba:4c:26:c7:6c:eb 33:33:00:00:00:fb 2
packet in 1 86:bc:3f:63:72:11 33:33:00:00:00:fb 2
packet in 3 82:8e:31:ff:a4:c9 33:33:00:00:00:fb 2
packet in 2 c6:2f:84:93:c0:63 33:33:00:00:00:fb 2
packet in 3 c6:2f:84:93:c0:63 33:33:00:00:00:fb 2
packet in 2 ba:4c:26:c7:6c:eb 33:33:00:00:00:fb 3
packet in 1 ba:4c:26:c7:6c:eb 33:33:00:00:00:fb 2
packet in 1 22:10:cd:4e:f3:bd 33:33:00:00:00:02 1
packet in 2 ba:4c:26:c7:6c:eb 33:33:00:00:00:02 3
packet in 1 ba:4c:26:c7:6c:eb 33:33:00:00:00:02 2
packet in 2 22:10:cd:4e:f3:bd 33:33:00:00:00:02 2
packet in 3 22:10:cd:4e:f3:bd 33:33:00:00:00:02 2
packet in 3 2e:c2:84:ee:a4:be 33:33:00:00:00:02 1
packet in 2 2e:c2:84:ee:a4:be 33:33:00:00:00:02 3
packet in 1 2e:c2:84:ee:a4:be 33:33:00:00:00:02 2
packet in 1 86:bc:3f:63:72:11 33:33:00:00:00:fb 2
packet in 3 82:8e:31:ff:a4:c9 33:33:00:00:00:fb 2
packet in 2 c6:2f:84:93:c0:63 33:33:00:00:00:fb 2
packet in 3 c6:2f:84:93:c0:63 33:33:00:00:00:fb 2
packet in 3 82:8e:31:ff:a4:c9 33:33:00:00:00:02 2
packet in 2 9a:58:2b:5f:b7:89 33:33:00:00:00:02 1
packet in 1 9a:58:2b:5f:b7:89 33:33:00:00:00:02 2
packet in 3 9a:58:2b:5f:b7:89 33:33:00:00:00:02 2
packet in 1 86:bc:3f:63:72:11 33:33:00:00:00:02 2
packet in 2 c6:2f:84:93:c0:63 33:33:00:00:00:02 2
packet in 3 c6:2f:84:93:c0:63 33:33:00:00:00:02 2
