loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 3 92:65:0e:4d:89:76 33:33:00:00:00:16 1
packet in 2 92:65:0e:4d:89:76 33:33:00:00:00:16 3
packet in 1 92:65:0e:4d:89:76 33:33:00:00:00:16 2
packet in 1 d2:5f:77:f4:25:d6 33:33:00:00:00:fb 2
packet in 2 3a:9a:6a:49:5d:5b 33:33:00:00:00:fb 2
packet in 3 3a:9a:6a:49:5d:5b 33:33:00:00:00:fb 2
packet in 2 ce:a2:ea:16:51:4e 33:33:00:00:00:fb 3
packet in 1 ce:a2:ea:16:51:4e 33:33:00:00:00:fb 2
packet in 3 d6:b0:cb:42:95:b5 33:33:00:00:00:fb 2
packet in 1 d2:5f:77:f4:25:d6 33:33:00:00:00:fb 2
packet in 3 d6:b0:cb:42:95:b5 33:33:00:00:00:16 2
packet in 3 d6:b0:cb:42:95:b5 33:33:00:00:00:16 2
packet in 3 d6:b0:cb:42:95:b5 33:33:00:00:00:fb 2
packet in 3 d6:b0:cb:42:95:b5 33:33:00:00:00:fb 2
packet in 1 d2:5f:77:f4:25:d6 33:33:00:00:00:fb 2
packet in 2 3a:9a:6a:49:5d:5b 33:33:00:00:00:fb 2
packet in 3 3a:9a:6a:49:5d:5b 33:33:00:00:00:fb 2
packet in 2 ce:a2:ea:16:51:4e 33:33:00:00:00:fb 3
packet in 1 ce:a2:ea:16:51:4e 33:33:00:00:00:fb 2
packet in 3 d6:b0:cb:42:95:b5 33:33:00:00:00:fb 2
packet in 1 d2:5f:77:f4:25:d6 33:33:00:00:00:fb 2
packet in 3 d6:b0:cb:42:95:b5 33:33:00:00:00:fb 2
packet in 2 3a:9a:6a:49:5d:5b 33:33:00:00:00:fb 2
packet in 3 3a:9a:6a:49:5d:5b 33:33:00:00:00:fb 2
packet in 2 ce:a2:ea:16:51:4e 33:33:00:00:00:fb 3
packet in 1 ce:a2:ea:16:51:4e 33:33:00:00:00:fb 2
packet in 1 d2:5f:77:f4:25:d6 33:33:00:00:00:fb 2
packet in 2 ce:a2:ea:16:51:4e 33:33:00:00:00:02 3
packet in 1 ce:a2:ea:16:51:4e 33:33:00:00:00:02 2
packet in 2 3a:9a:6a:49:5d:5b 33:33:00:00:00:fb 2
packet in 3 3a:9a:6a:49:5d:5b 33:33:00:00:00:fb 2
packet in 2 ce:a2:ea:16:51:4e 33:33:00:00:00:fb 3
packet in 1 ce:a2:ea:16:51:4e 33:33:00:00:00:fb 2
packet in 3 d6:b0:cb:42:95:b5 33:33:00:00:00:fb 2
packet in 2 3a:9a:6a:49:5d:5b 33:33:00:00:00:02 2
packet in 3 3a:9a:6a:49:5d:5b 33:33:00:00:00:02 2
packet in 1 d2:5f:77:f4:25:d6 33:33:00:00:00:fb 2
packet in 1 ea:5d:17:9f:0d:d9 33:33:00:00:00:02 1
packet in 1 d2:5f:77:f4:25:d6 33:33:00:00:00:02 2
packet in 2 3a:e9:b0:49:6a:61 33:33:00:00:00:02 1
packet in 2 ea:5d:17:9f:0d:d9 33:33:00:00:00:02 2
packet in 1 3a:e9:b0:49:6a:61 33:33:00:00:00:02 2
packet in 3 3a:e9:b0:49:6a:61 33:33:00:00:00:02 2
packet in 3 ea:5d:17:9f:0d:d9 33:33:00:00:00:02 2
packet in 3 d6:b0:cb:42:95:b5 33:33:00:00:00:fb 2
packet in 3 92:65:0e:4d:89:76 33:33:00:00:00:02 1
packet in 2 92:65:0e:4d:89:76 33:33:00:00:00:02 3
packet in 1 92:65:0e:4d:89:76 33:33:00:00:00:02 2
packet in 3 d6:b0:cb:42:95:b5 33:33:00:00:00:02 2
