loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 2 96:8c:0b:68:68:b9 2a:66:60:c9:7c:b3 3
packet in 1 96:8c:0b:68:68:b9 2a:66:60:c9:7c:b3 2
packet in 1 2a:66:60:c9:7c:b3 96:8c:0b:68:68:b9 1
packet in 2 2a:66:60:c9:7c:b3 96:8c:0b:68:68:b9 2
packet in 3 2a:66:60:c9:7c:b3 96:8c:0b:68:68:b9 2
packet in 2 6a:31:e3:e3:3e:89 ff:ff:ff:ff:ff:ff 1
packet in 1 6a:31:e3:e3:3e:89 ff:ff:ff:ff:ff:ff 2
packet in 3 6a:31:e3:e3:3e:89 ff:ff:ff:ff:ff:ff 2
packet in 3 96:8c:0b:68:68:b9 6a:31:e3:e3:3e:89 1
packet in 2 96:8c:0b:68:68:b9 6a:31:e3:e3:3e:89 3
packet in 2 6a:31:e3:e3:3e:89 96:8c:0b:68:68:b9 1
packet in 2 66:ba:25:62:c2:4a 33:33:00:00:00:fb 2
packet in 3 6a:31:e3:e3:3e:89 96:8c:0b:68:68:b9 2
packet in 3 66:ba:25:62:c2:4a 33:33:00:00:00:fb 2
packet in 3 96:8c:0b:68:68:b9 33:33:00:00:00:16 1
packet in 3 96:8c:0b:68:68:b9 33:33:00:00:00:02 1
packet in 2 96:8c:0b:68:68:b9 33:33:00:00:00:16 3
packet in 2 96:8c:0b:68:68:b9 33:33:00:00:00:02 3
packet in 1 96:8c:0b:68:68:b9 33:33:00:00:00:16 2
packet in 1 96:8c:0b:68:68:b9 33:33:00:00:00:02 2
packet in 2 da:2b:3a:de:b5:bc 33:33:00:00:00:fb 3
packet in 1 da:2b:3a:de:b5:bc 33:33:00:00:00:fb 2
packet in 3 a6:ec:eb:d1:42:79 33:33:00:00:00:16 2
packet in 3 a6:ec:eb:d1:42:79 33:33:00:00:00:02 2
packet in 2 66:ba:25:62:c2:4a 33:33:00:00:00:16 2
packet in 3 66:ba:25:62:c2:4a 33:33:00:00:00:16 2
packet in 3 a6:ec:eb:d1:42:79 33:33:00:00:00:16 2
packet in 3 a6:ec:eb:d1:42:79 33:33:00:00:00:16 2
packet in 2 66:ba:25:62:c2:4a 33:33:00:00:00:fb 2
packet in 3 66:ba:25:62:c2:4a 33:33:00:00:00:fb 2
packet in 2 da:2b:3a:de:b5:bc 33:33:00:00:00:16 3
packet in 1 da:2b:3a:de:b5:bc 33:33:00:00:00:16 2
packet in 3 a6:ec:eb:d1:42:79 33:33:00:00:00:fb 2
packet in 2 da:2b:3a:de:b5:bc 33:33:00:00:00:fb 3
packet in 1 da:2b:3a:de:b5:bc 33:33:00:00:00:fb 2
packet in 1 42:a5:33:41:60:33 33:33:00:00:00:16 2
packet in 1 42:a5:33:41:60:33 33:33:00:00:00:02 2
packet in 1 42:a5:33:41:60:33 33:33:00:00:00:16 2
packet in 3 a6:ec:eb:d1:42:79 33:33:00:00:00:fb 2
packet in 2 66:ba:25:62:c2:4a 33:33:00:00:00:fb 2
packet in 3 66:ba:25:62:c2:4a 33:33:00:00:00:fb 2
packet in 1 42:a5:33:41:60:33 33:33:00:00:00:fb 2
packet in 2 da:2b:3a:de:b5:bc 33:33:00:00:00:fb 3
packet in 1 da:2b:3a:de:b5:bc 33:33:00:00:00:fb 2
packet in 3 96:8c:0b:68:68:b9 33:33:00:00:00:16 1
packet in 2 96:8c:0b:68:68:b9 33:33:00:00:00:16 3
packet in 1 96:8c:0b:68:68:b9 33:33:00:00:00:16 2
packet in 3 a6:ec:eb:d1:42:79 33:33:00:00:00:fb 2
packet in 1 42:a5:33:41:60:33 33:33:00:00:00:fb 2
packet in 1 2a:66:60:c9:7c:b3 33:33:00:00:00:16 1
packet in 1 2a:66:60:c9:7c:b3 33:33:00:00:00:02 1
packet in 2 66:ba:25:62:c2:4a 33:33:00:00:00:fb 2
packet in 2 2a:66:60:c9:7c:b3 33:33:00:00:00:16 2
packet in 2 2a:66:60:c9:7c:b3 33:33:00:00:00:02 2
packet in 3 66:ba:25:62:c2:4a 33:33:00:00:00:fb 2
packet in 3 2a:66:60:c9:7c:b3 33:33:00:00:00:16 2
packet in 3 2a:66:60:c9:7c:b3 33:33:00:00:00:02 2
packet in 2 6a:31:e3:e3:3e:89 33:33:00:00:00:16 1
packet in 2 6a:31:e3:e3:3e:89 33:33:00:00:00:02 1
packet in 1 6a:31:e3:e3:3e:89 33:33:00:00:00:16 2
packet in 1 6a:31:e3:e3:3e:89 33:33:00:00:00:02 2
packet in 3 6a:31:e3:e3:3e:89 33:33:00:00:00:16 2
packet in 3 6a:31:e3:e3:3e:89 33:33:00:00:00:02 2
packet in 2 da:2b:3a:de:b5:bc 33:33:00:00:00:fb 3
packet in 1 da:2b:3a:de:b5:bc 33:33:00:00:00:fb 2
packet in 2 66:ba:25:62:c2:4a 33:33:00:00:00:16 2
packet in 3 66:ba:25:62:c2:4a 33:33:00:00:00:16 2
packet in 2 66:ba:25:62:c2:4a 33:33:00:00:00:fb 2
packet in 3 66:ba:25:62:c2:4a 33:33:00:00:00:fb 2
packet in 3 a6:ec:eb:d1:42:79 33:33:00:00:00:fb 2
packet in 1 42:a5:33:41:60:33 33:33:00:00:00:fb 2
packet in 1 42:a5:33:41:60:33 33:33:00:00:00:16 2
packet in 3 a6:ec:eb:d1:42:79 33:33:00:00:00:16 2
packet in 2 da:2b:3a:de:b5:bc 33:33:00:00:00:fb 3
packet in 1 da:2b:3a:de:b5:bc 33:33:00:00:00:fb 2
packet in 2 da:2b:3a:de:b5:bc 33:33:00:00:00:16 3
packet in 1 da:2b:3a:de:b5:bc 33:33:00:00:00:16 2
packet in 2 66:ba:25:62:c2:4a 33:33:00:00:00:fb 2
packet in 3 66:ba:25:62:c2:4a 33:33:00:00:00:fb 2
packet in 2 da:2b:3a:de:b5:bc 33:33:00:00:00:fb 3
packet in 1 da:2b:3a:de:b5:bc 33:33:00:00:00:fb 2
packet in 3 a6:ec:eb:d1:42:79 33:33:00:00:00:fb 2
packet in 1 42:a5:33:41:60:33 33:33:00:00:00:fb 2
packet in 2 6a:31:e3:e3:3e:89 33:33:00:00:00:16 1
packet in 3 6a:31:e3:e3:3e:89 33:33:00:00:00:16 2
packet in 1 6a:31:e3:e3:3e:89 33:33:00:00:00:16 2
packet in 3 a6:ec:eb:d1:42:79 33:33:00:00:00:fb 2
packet in 1 42:a5:33:41:60:33 33:33:00:00:00:16 2
packet in 1 42:a5:33:41:60:33 33:33:00:00:00:fb 2
packet in 1 42:a5:33:41:60:33 33:33:00:00:00:fb 2
packet in 1 2a:66:60:c9:7c:b3 33:33:00:00:00:16 1
packet in 2 2a:66:60:c9:7c:b3 33:33:00:00:00:16 2
packet in 3 2a:66:60:c9:7c:b3 33:33:00:00:00:16 2
packet in 2 66:ba:25:62:c2:4a 33:33:00:00:00:fb 2
packet in 3 66:ba:25:62:c2:4a 33:33:00:00:00:fb 2
packet in 2 da:2b:3a:de:b5:bc 33:33:00:00:00:fb 3
packet in 1 da:2b:3a:de:b5:bc 33:33:00:00:00:fb 2
packet in 3 a6:ec:eb:d1:42:79 33:33:00:00:00:fb 2
packet in 1 42:a5:33:41:60:33 33:33:00:00:00:fb 2
packet in 2 66:ba:25:62:c2:4a 33:33:00:00:00:fb 2
packet in 3 66:ba:25:62:c2:4a 33:33:00:00:00:fb 2
packet in 2 da:2b:3a:de:b5:bc 33:33:00:00:00:fb 3
packet in 1 da:2b:3a:de:b5:bc 33:33:00:00:00:fb 2
packet in 3 a6:ec:eb:d1:42:79 33:33:00:00:00:fb 2
packet in 1 42:a5:33:41:60:33 33:33:00:00:00:fb 2
packet in 2 66:ba:25:62:c2:4a 33:33:00:00:00:02 2
packet in 3 66:ba:25:62:c2:4a 33:33:00:00:00:02 2
packet in 3 96:8c:0b:68:68:b9 33:33:00:00:00:02 1
packet in 2 da:2b:3a:de:b5:bc 33:33:00:00:00:02 3
packet in 2 96:8c:0b:68:68:b9 33:33:00:00:00:02 3
packet in 1 da:2b:3a:de:b5:bc 33:33:00:00:00:02 2
packet in 1 96:8c:0b:68:68:b9 33:33:00:00:00:02 2
packet in 3 a6:ec:eb:d1:42:79 33:33:00:00:00:02 2
packet in 2 66:ba:25:62:c2:4a 33:33:00:00:00:fb 2
packet in 3 66:ba:25:62:c2:4a 33:33:00:00:00:fb 2
packet in 2 da:2b:3a:de:b5:bc 33:33:00:00:00:fb 3
packet in 1 da:2b:3a:de:b5:bc 33:33:00:00:00:fb 2
packet in 1 42:a5:33:41:60:33 33:33:00:00:00:02 2
packet in 2 6a:31:e3:e3:3e:89 33:33:00:00:00:02 1
packet in 3 6a:31:e3:e3:3e:89 33:33:00:00:00:02 2
packet in 1 6a:31:e3:e3:3e:89 33:33:00:00:00:02 2
packet in 3 a6:ec:eb:d1:42:79 33:33:00:00:00:fb 2
packet in 1 42:a5:33:41:60:33 33:33:00:00:00:fb 2
packet in 1 2a:66:60:c9:7c:b3 33:33:00:00:00:02 1
packet in 2 2a:66:60:c9:7c:b3 33:33:00:00:00:02 2
packet in 3 2a:66:60:c9:7c:b3 33:33:00:00:00:02 2
