loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 2 0e:b2:fa:a4:ca:ce 33:33:00:00:00:16 3
packet in 2 0e:b2:fa:a4:ca:ce 33:33:00:00:00:02 3
packet in 2 0a:c5:e0:c5:4f:97 ff:ff:ff:ff:ff:ff 1
packet in 3 0a:c5:e0:c5:4f:97 ff:ff:ff:ff:ff:ff 2
packet in 1 0e:b2:fa:a4:ca:ce 33:33:00:00:00:16 2
packet in 1 0e:b2:fa:a4:ca:ce 33:33:00:00:00:02 2
packet in 1 0a:c5:e0:c5:4f:97 ff:ff:ff:ff:ff:ff 2
packet in 3 f6:06:ad:93:6a:38 0a:c5:e0:c5:4f:97 1
packet in 2 f6:06:ad:93:6a:38 0a:c5:e0:c5:4f:97 3
packet in 2 0a:c5:e0:c5:4f:97 f6:06:ad:93:6a:38 1
packet in 3 0a:c5:e0:c5:4f:97 f6:06:ad:93:6a:38 2
packet in 2 0e:b2:fa:a4:ca:ce 33:33:00:00:00:16 3
packet in 2 0a:c5:e0:c5:4f:97 f6:06:ad:93:6a:38 1
packet in 1 0e:b2:fa:a4:ca:ce 33:33:00:00:00:16 2
packet in 2 0e:b2:fa:a4:ca:ce 33:33:00:00:00:fb 3
packet in 1 0e:b2:fa:a4:ca:ce 33:33:00:00:00:fb 2
packet in 3 f6:06:ad:93:6a:38 33:33:00:00:00:16 1
packet in 3 f6:06:ad:93:6a:38 33:33:00:00:00:02 1
packet in 2 f6:06:ad:93:6a:38 33:33:00:00:00:16 3
packet in 2 f6:06:ad:93:6a:38 33:33:00:00:00:02 3
packet in 1 f6:06:ad:93:6a:38 33:33:00:00:00:16 2
packet in 1 f6:06:ad:93:6a:38 33:33:00:00:00:02 2
packet in 2 0e:b2:fa:a4:ca:ce 33:33:00:00:00:fb 3
packet in 1 0e:b2:fa:a4:ca:ce 33:33:00:00:00:fb 2
packet in 2 0e:b2:fa:a4:ca:ce 33:33:00:00:00:fb 3
packet in 1 0e:b2:fa:a4:ca:ce 33:33:00:00:00:fb 2
packet in 3 f6:06:ad:93:6a:38 33:33:00:00:00:16 1
packet in 2 ea:9a:0c:62:6b:b7 33:33:00:00:00:16 2
packet in 2 ea:9a:0c:62:6b:b7 33:33:00:00:00:02 2
packet in 3 ea:9a:0c:62:6b:b7 33:33:00:00:00:16 2
packet in 3 ea:9a:0c:62:6b:b7 33:33:00:00:00:02 2
packet in 2 f6:06:ad:93:6a:38 33:33:00:00:00:16 3
packet in 1 f6:06:ad:93:6a:38 33:33:00:00:00:16 2
packet in 2 ea:9a:0c:62:6b:b7 33:33:00:00:00:16 2
packet in 3 ea:9a:0c:62:6b:b7 33:33:00:00:00:16 2
packet in 3 da:00:af:fd:5b:84 33:33:00:00:00:16 2
packet in 3 da:00:af:fd:5b:84 33:33:00:00:00:02 2
packet in 3 da:00:af:fd:5b:84 33:33:00:00:00:16 2
packet in 2 ea:9a:0c:62:6b:b7 33:33:00:00:00:fb 2
packet in 3 ea:9a:0c:62:6b:b7 33:33:00:00:00:fb 2
packet in 2 ea:9a:0c:62:6b:b7 33:33:00:00:00:16 2
packet in 3 ea:9a:0c:62:6b:b7 33:33:00:00:00:16 2
packet in 1 6e:6b:90:de:38:ae 33:33:00:00:00:16 2
packet in 1 6e:6b:90:de:38:ae 33:33:00:00:00:02 2
packet in 1 6e:6b:90:de:38:ae 33:33:00:00:00:16 2
packet in 3 da:00:af:fd:5b:84 33:33:00:00:00:16 2
packet in 3 da:00:af:fd:5b:84 33:33:00:00:00:fb 2
packet in 2 0e:b2:fa:a4:ca:ce 33:33:00:00:00:fb 3
packet in 1 6e:6b:90:de:38:ae 33:33:00:00:00:fb 2
packet in 1 0e:b2:fa:a4:ca:ce 33:33:00:00:00:fb 2
packet in 2 ea:9a:0c:62:6b:b7 33:33:00:00:00:fb 2
packet in 3 ea:9a:0c:62:6b:b7 33:33:00:00:00:fb 2
packet in 1 66:73:4a:e6:76:af 33:33:00:00:00:16 1
packet in 1 66:73:4a:e6:76:af 33:33:00:00:00:02 1
packet in 2 66:73:4a:e6:76:af 33:33:00:00:00:16 2
packet in 2 66:73:4a:e6:76:af 33:33:00:00:00:02 2
packet in 3 66:73:4a:e6:76:af 33:33:00:00:00:16 2
packet in 3 66:73:4a:e6:76:af 33:33:00:00:00:02 2
packet in 3 da:00:af:fd:5b:84 33:33:00:00:00:fb 2
packet in 2 0e:b2:fa:a4:ca:ce 33:33:00:00:00:16 3
packet in 1 0e:b2:fa:a4:ca:ce 33:33:00:00:00:16 2
packet in 1 6e:6b:90:de:38:ae 33:33:00:00:00:fb 2
packet in 2 0e:b2:fa:a4:ca:ce 33:33:00:00:00:fb 3
packet in 1 0e:b2:fa:a4:ca:ce 33:33:00:00:00:fb 2
packet in 2 0e:b2:fa:a4:ca:ce 33:33:00:00:00:16 3
packet in 1 0e:b2:fa:a4:ca:ce 33:33:00:00:00:16 2
packet in 2 ea:9a:0c:62:6b:b7 33:33:00:00:00:fb 2
packet in 3 ea:9a:0c:62:6b:b7 33:33:00:00:00:fb 2
packet in 1 6e:6b:90:de:38:ae 33:33:00:00:00:16 2
packet in 3 da:00:af:fd:5b:84 33:33:00:00:00:fb 2
packet in 2 0e:b2:fa:a4:ca:ce 33:33:00:00:00:fb 3
packet in 1 0e:b2:fa:a4:ca:ce 33:33:00:00:00:fb 2
packet in 1 6e:6b:90:de:38:ae 33:33:00:00:00:fb 2
packet in 3 da:00:af:fd:5b:84 33:33:00:00:00:16 2
packet in 2 ea:9a:0c:62:6b:b7 33:33:00:00:00:fb 2
packet in 3 ea:9a:0c:62:6b:b7 33:33:00:00:00:fb 2
packet in 2 ea:9a:0c:62:6b:b7 33:33:00:00:00:16 2
packet in 3 ea:9a:0c:62:6b:b7 33:33:00:00:00:16 2
packet in 3 da:00:af:fd:5b:84 33:33:00:00:00:fb 2
packet in 1 6e:6b:90:de:38:ae 33:33:00:00:00:fb 2
packet in 2 ea:9a:0c:62:6b:b7 33:33:00:00:00:fb 2
packet in 3 ea:9a:0c:62:6b:b7 33:33:00:00:00:fb 2
packet in 3 da:00:af:fd:5b:84 33:33:00:00:00:fb 2
packet in 1 6e:6b:90:de:38:ae 33:33:00:00:00:16 2
packet in 1 6e:6b:90:de:38:ae 33:33:00:00:00:fb 2
packet in 1 66:73:4a:e6:76:af 33:33:00:00:00:16 1
packet in 2 66:73:4a:e6:76:af 33:33:00:00:00:16 2
packet in 3 66:73:4a:e6:76:af 33:33:00:00:00:16 2
packet in 2 ea:9a:0c:62:6b:b7 33:33:00:00:00:fb 2
packet in 3 ea:9a:0c:62:6b:b7 33:33:00:00:00:fb 2
packet in 3 da:00:af:fd:5b:84 33:33:00:00:00:fb 2
packet in 1 6e:6b:90:de:38:ae 33:33:00:00:00:fb 2
packet in 2 0e:b2:fa:a4:ca:ce 33:33:00:00:00:fb 3
packet in 1 0e:b2:fa:a4:ca:ce 33:33:00:00:00:fb 2
packet in 2 ea:9a:0c:62:6b:b7 33:33:00:00:00:fb 2
packet in 3 ea:9a:0c:62:6b:b7 33:33:00:00:00:fb 2
packet in 3 da:00:af:fd:5b:84 33:33:00:00:00:fb 2
packet in 1 6e:6b:90:de:38:ae 33:33:00:00:00:fb 2
packet in 2 0e:b2:fa:a4:ca:ce 33:33:00:00:00:fb 3
packet in 1 0e:b2:fa:a4:ca:ce 33:33:00:00:00:fb 2
packet in 2 ea:9a:0c:62:6b:b7 33:33:00:00:00:fb 2
packet in 3 ea:9a:0c:62:6b:b7 33:33:00:00:00:fb 2
packet in 3 da:00:af:fd:5b:84 33:33:00:00:00:fb 2
packet in 1 6e:6b:90:de:38:ae 33:33:00:00:00:fb 2
packet in 3 da:00:af:fd:5b:84 33:33:00:00:00:02 2
packet in 2 0e:b2:fa:a4:ca:ce 33:33:00:00:00:02 3
packet in 2 ea:9a:0c:62:6b:b7 33:33:00:00:00:02 2
packet in 2 0a:c5:e0:c5:4f:97 33:33:00:00:00:02 1
packet in 2 0e:b2:fa:a4:ca:ce 33:33:00:00:00:fb 3
packet in 3 ea:9a:0c:62:6b:b7 33:33:00:00:00:02 2
packet in 3 0a:c5:e0:c5:4f:97 33:33:00:00:00:02 2
packet in 1 0e:b2:fa:a4:ca:ce 33:33:00:00:00:02 2
packet in 1 0a:c5:e0:c5:4f:97 33:33:00:00:00:02 2
packet in 1 0e:b2:fa:a4:ca:ce 33:33:00:00:00:fb 2
packet in 3 f6:06:ad:93:6a:38 33:33:00:00:00:02 1
packet in 1 66:73:4a:e6:76:af 33:33:00:00:00:02 1
packet in 2 f6:06:ad:93:6a:38 33:33:00:00:00:02 3
packet in 2 66:73:4a:e6:76:af 33:33:00:00:00:02 2
packet in 3 66:73:4a:e6:76:af 33:33:00:00:00:02 2
packet in 1 f6:06:ad:93:6a:38 33:33:00:00:00:02 2
packet in 2 ea:9a:0c:62:6b:b7 33:33:00:00:00:fb 2
packet in 3 ea:9a:0c:62:6b:b7 33:33:00:00:00:fb 2
packet in 3 da:00:af:fd:5b:84 33:33:00:00:00:fb 2
packet in 1 6e:6b:90:de:38:ae 33:33:00:00:00:fb 2
packet in 1 6e:6b:90:de:38:ae 33:33:00:00:00:02 2
