loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 3 9e:2d:65:6f:e7:e2 33:33:00:00:00:16 2
packet in 3 9e:2d:65:6f:e7:e2 33:33:00:00:00:02 2
packet in 2 ae:c4:6e:b5:9f:1a 33:33:00:00:00:fb 2
packet in 3 ae:c4:6e:b5:9f:1a 33:33:00:00:00:fb 2
packet in 3 9e:2d:65:6f:e7:e2 33:33:00:00:00:16 2
packet in 1 c6:43:3e:ae:54:13 33:33:00:00:00:fb 2
packet in 2 22:ca:f2:61:e8:10 33:33:00:00:00:16 1
packet in 2 22:ca:f2:61:e8:10 33:33:00:00:00:02 1
packet in 3 22:ca:f2:61:e8:10 33:33:00:00:00:16 2
packet in 3 22:ca:f2:61:e8:10 33:33:00:00:00:02 2
packet in 1 22:ca:f2:61:e8:10 33:33:00:00:00:16 2
packet in 1 22:ca:f2:61:e8:10 33:33:00:00:00:02 2
packet in 1 b2:6e:74:f0:f0:3a 33:33:00:00:00:16 1
packet in 2 ae:c4:6e:b5:9f:1a 33:33:00:00:00:16 2
packet in 2 b2:6e:74:f0:f0:3a 33:33:00:00:00:16 2
packet in 3 ae:c4:6e:b5:9f:1a 33:33:00:00:00:16 2
packet in 3 b2:6e:74:f0:f0:3a 33:33:00:00:00:16 2
packet in 3 9e:2d:65:6f:e7:e2 33:33:00:00:00:fb 2
packet in 3 9e:2d:65:6f:e7:e2 33:33:00:00:00:16 2
packet in 3 9a:e6:db:73:f5:9e 33:33:00:00:00:16 1
packet in 2 9a:e6:db:73:f5:9e 33:33:00:00:00:16 3
packet in 1 9a:e6:db:73:f5:9e 33:33:00:00:00:16 2
packet in 2 22:0d:c6:d6:be:95 33:33:00:00:00:fb 3
packet in 1 22:0d:c6:d6:be:95 33:33:00:00:00:fb 2
packet in 2 22:ca:f2:61:e8:10 33:33:00:00:00:16 1
packet in 3 22:ca:f2:61:e8:10 33:33:00:00:00:16 2
packet in 1 22:ca:f2:61:e8:10 33:33:00:00:00:16 2
packet in 2 ae:c4:6e:b5:9f:1a 33:33:00:00:00:fb 2
packet in 3 ae:c4:6e:b5:9f:1a 33:33:00:00:00:fb 2
packet in 1 c6:43:3e:ae:54:13 33:33:00:00:00:fb 2
packet in 3 9e:2d:65:6f:e7:e2 33:33:00:00:00:fb 2
packet in 2 22:0d:c6:d6:be:95 33:33:00:00:00:fb 3
packet in 1 22:0d:c6:d6:be:95 33:33:00:00:00:fb 2
packet in 1 c6:43:3e:ae:54:13 33:33:00:00:00:16 2
packet in 3 9e:2d:65:6f:e7:e2 33:33:00:00:00:16 2
packet in 2 ae:c4:6e:b5:9f:1a 33:33:00:00:00:fb 2
packet in 3 ae:c4:6e:b5:9f:1a 33:33:00:00:00:fb 2
packet in 1 c6:43:3e:ae:54:13 33:33:00:00:00:fb 2
packet in 1 c6:43:3e:ae:54:13 33:33:00:00:00:16 2
packet in 3 9e:2d:65:6f:e7:e2 33:33:00:00:00:fb 2
packet in 2 ae:c4:6e:b5:9f:1a 33:33:00:00:00:fb 2
packet in 3 ae:c4:6e:b5:9f:1a 33:33:00:00:00:fb 2
packet in 1 c6:43:3e:ae:54:13 33:33:00:00:00:fb 2
packet in 3 9e:2d:65:6f:e7:e2 33:33:00:00:00:fb 2
packet in 1 c6:43:3e:ae:54:13 33:33:00:00:00:fb 2
packet in 3 9e:2d:65:6f:e7:e2 33:33:00:00:00:fb 2
packet in 3 9e:2d:65:6f:e7:e2 33:33:00:00:00:fb 2
packet in 2 22:0d:c6:d6:be:95 33:33:00:00:00:fb 3
packet in 1 22:0d:c6:d6:be:95 33:33:00:00:00:fb 2
packet in 2 ae:c4:6e:b5:9f:1a 33:33:00:00:00:fb 2
packet in 3 ae:c4:6e:b5:9f:1a 33:33:00:00:00:fb 2
packet in 1 c6:43:3e:ae:54:13 33:33:00:00:00:fb 2
packet in 3 9e:2d:65:6f:e7:e2 33:33:00:00:00:fb 2
packet in 2 22:0d:c6:d6:be:95 33:33:00:00:00:fb 3
packet in 1 22:0d:c6:d6:be:95 33:33:00:00:00:fb 2
packet in 2 ae:c4:6e:b5:9f:1a 33:33:00:00:00:fb 2
packet in 3 ae:c4:6e:b5:9f:1a 33:33:00:00:00:fb 2
packet in 1 c6:43:3e:ae:54:13 33:33:00:00:00:fb 2
packet in 2 22:0d:c6:d6:be:95 33:33:00:00:00:02 3
packet in 1 22:0d:c6:d6:be:95 33:33:00:00:00:02 2
packet in 3 9e:2d:65:6f:e7:e2 33:33:00:00:00:fb 2
packet in 1 b2:6e:74:f0:f0:3a 33:33:00:00:00:02 1
packet in 3 9a:e6:db:73:f5:9e 33:33:00:00:00:02 1
packet in 2 b2:6e:74:f0:f0:3a 33:33:00:00:00:02 2
packet in 2 9a:e6:db:73:f5:9e 33:33:00:00:00:02 3
packet in 1 9a:e6:db:73:f5:9e 33:33:00:00:00:02 2
packet in 3 b2:6e:74:f0:f0:3a 33:33:00:00:00:02 2
packet in 2 ae:c4:6e:b5:9f:1a 33:33:00:00:00:02 2
packet in 3 ae:c4:6e:b5:9f:1a 33:33:00:00:00:02 2
packet in 2 22:0d:c6:d6:be:95 33:33:00:00:00:fb 3
packet in 1 22:0d:c6:d6:be:95 33:33:00:00:00:fb 2
packet in 1 c6:43:3e:ae:54:13 33:33:00:00:00:02 2
packet in 2 ae:c4:6e:b5:9f:1a 33:33:00:00:00:fb 2
packet in 3 ae:c4:6e:b5:9f:1a 33:33:00:00:00:fb 2
packet in 3 9e:2d:65:6f:e7:e2 33:33:00:00:00:02 2
packet in 1 c6:43:3e:ae:54:13 33:33:00:00:00:fb 2
packet in 3 9e:2d:65:6f:e7:e2 33:33:00:00:00:fb 2
