loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 2 4a:ac:65:13:1d:32 33:33:00:00:00:16 3
packet in 2 4a:ac:65:13:1d:32 33:33:00:00:00:02 3
packet in 1 4a:ac:65:13:1d:32 33:33:00:00:00:16 2
packet in 1 4a:ac:65:13:1d:32 33:33:00:00:00:02 2
packet in 3 36:90:ca:2b:a6:45 33:33:00:00:00:16 2
packet in 3 36:90:ca:2b:a6:45 33:33:00:00:00:02 2
packet in 3 36:90:ca:2b:a6:45 33:33:00:00:00:16 2
packet in 2 96:b4:7f:45:0d:47 33:33:00:00:00:fb 3
packet in 1 96:b4:7f:45:0d:47 33:33:00:00:00:fb 2
packet in 2 c6:15:03:cb:c2:4c 33:33:00:00:00:fb 2
packet in 3 c6:15:03:cb:c2:4c 33:33:00:00:00:fb 2
packet in 3 36:90:ca:2b:a6:45 33:33:00:00:00:fb 2
packet in 1 aa:f5:69:ad:b7:a9 33:33:00:00:00:16 2
packet in 1 aa:f5:69:ad:b7:a9 33:33:00:00:00:02 2
packet in 1 aa:f5:69:ad:b7:a9 33:33:00:00:00:16 2
packet in 1 36:42:1c:95:c3:9e 33:33:00:00:00:16 1
packet in 2 36:42:1c:95:c3:9e 33:33:00:00:00:16 2
packet in 3 36:42:1c:95:c3:9e 33:33:00:00:00:16 2
packet in 1 aa:f5:69:ad:b7:a9 33:33:00:00:00:fb 2
packet in 2 96:b4:7f:45:0d:47 33:33:00:00:00:fb 3
packet in 3 36:90:ca:2b:a6:45 33:33:00:00:00:16 2
packet in 2 c6:15:03:cb:c2:4c 33:33:00:00:00:16 2
packet in 1 96:b4:7f:45:0d:47 33:33:00:00:00:fb 2
packet in 3 c6:15:03:cb:c2:4c 33:33:00:00:00:16 2
packet in 3 36:90:ca:2b:a6:45 33:33:00:00:00:fb 2
packet in 1 aa:f5:69:ad:b7:a9 33:33:00:00:00:16 2
packet in 2 c6:15:03:cb:c2:4c 33:33:00:00:00:fb 2
packet in 3 c6:15:03:cb:c2:4c 33:33:00:00:00:fb 2
packet in 2 36:95:b6:73:44:54 33:33:00:00:00:16 1
packet in 1 36:95:b6:73:44:54 33:33:00:00:00:16 2
packet in 3 36:95:b6:73:44:54 33:33:00:00:00:16 2
packet in 1 aa:f5:69:ad:b7:a9 33:33:00:00:00:16 2
packet in 3 36:90:ca:2b:a6:45 33:33:00:00:00:16 2
packet in 1 aa:f5:69:ad:b7:a9 33:33:00:00:00:fb 2
packet in 2 c6:15:03:cb:c2:4c 33:33:00:00:00:fb 2
packet in 3 c6:15:03:cb:c2:4c 33:33:00:00:00:fb 2
packet in 2 96:b4:7f:45:0d:47 33:33:00:00:00:16 3
packet in 1 96:b4:7f:45:0d:47 33:33:00:00:00:16 2
packet in 2 96:b4:7f:45:0d:47 33:33:00:00:00:fb 3
packet in 1 96:b4:7f:45:0d:47 33:33:00:00:00:fb 2
packet in 3 36:90:ca:2b:a6:45 33:33:00:00:00:fb 2
packet in 3 4a:ac:65:13:1d:32 33:33:00:00:00:16 1
packet in 2 4a:ac:65:13:1d:32 33:33:00:00:00:16 3
packet in 1 4a:ac:65:13:1d:32 33:33:00:00:00:16 2
packet in 2 c6:15:03:cb:c2:4c 33:33:00:00:00:fb 2
packet in 3 c6:15:03:cb:c2:4c 33:33:00:00:00:fb 2
packet in 2 96:b4:7f:45:0d:47 33:33:00:00:00:16 3
packet in 1 96:b4:7f:45:0d:47 33:33:00:00:00:16 2
packet in 1 aa:f5:69:ad:b7:a9 33:33:00:00:00:fb 2
packet in 2 96:b4:7f:45:0d:47 33:33:00:00:00:fb 3
packet in 1 96:b4:7f:45:0d:47 33:33:00:00:00:fb 2
packet in 3 36:90:ca:2b:a6:45 33:33:00:00:00:fb 2
packet in 2 96:b4:7f:45:0d:47 33:33:00:00:00:fb 3
packet in 1 96:b4:7f:45:0d:47 33:33:00:00:00:fb 2
packet in 1 aa:f5:69:ad:b7:a9 33:33:00:00:00:fb 2
packet in 3 36:90:ca:2b:a6:45 33:33:00:00:00:fb 2
packet in 3 36:90:ca:2b:a6:45 33:33:00:00:00:fb 2
packet in 1 aa:f5:69:ad:b7:a9 33:33:00:00:00:fb 2
packet in 1 aa:f5:69:ad:b7:a9 33:33:00:00:00:fb 2
packet in 2 c6:15:03:cb:c2:4c 33:33:00:00:00:fb 2
packet in 3 c6:15:03:cb:c2:4c 33:33:00:00:00:fb 2
packet in 2 96:b4:7f:45:0d:47 33:33:00:00:00:fb 3
packet in 1 96:b4:7f:45:0d:47 33:33:00:00:00:fb 2
packet in 3 36:90:ca:2b:a6:45 33:33:00:00:00:fb 2
packet in 1 aa:f5:69:ad:b7:a9 33:33:00:00:00:fb 2
packet in 2 c6:15:03:cb:c2:4c 33:33:00:00:00:fb 2
packet in 3 c6:15:03:cb:c2:4c 33:33:00:00:00:fb 2
packet in 2 96:b4:7f:45:0d:47 33:33:00:00:00:fb 3
packet in 1 96:b4:7f:45:0d:47 33:33:00:00:00:fb 2
packet in 3 36:90:ca:2b:a6:45 33:33:00:00:00:fb 2
packet in 1 aa:f5:69:ad:b7:a9 33:33:00:00:00:fb 2
packet in 1 36:42:1c:95:c3:9e 33:33:00:00:00:02 1
packet in 2 96:b4:7f:45:0d:47 33:33:00:00:00:02 3
packet in 2 36:42:1c:95:c3:9e 33:33:00:00:00:02 2
packet in 1 96:b4:7f:45:0d:47 33:33:00:00:00:02 2
packet in 3 36:42:1c:95:c3:9e 33:33:00:00:00:02 2
packet in 2 c6:15:03:cb:c2:4c 33:33:00:00:00:02 2
packet in 2 36:95:b6:73:44:54 33:33:00:00:00:02 1
packet in 1 36:95:b6:73:44:54 33:33:00:00:00:02 2
packet in 3 c6:15:03:cb:c2:4c 33:33:00:00:00:02 2
packet in 3 36:95:b6:73:44:54 33:33:00:00:00:02 2
packet in 2 c6:15:03:cb:c2:4c 33:33:00:00:00:fb 2
packet in 3 c6:15:03:cb:c2:4c 33:33:00:00:00:fb 2
packet in 2 96:b4:7f:45:0d:47 33:33:00:00:00:fb 3
packet in 1 96:b4:7f:45:0d:47 33:33:00:00:00:fb 2
packet in 3 36:90:ca:2b:a6:45 33:33:00:00:00:02 2
packet in 3 4a:ac:65:13:1d:32 33:33:00:00:00:02 1
packet in 2 4a:ac:65:13:1d:32 33:33:00:00:00:02 3
packet in 1 4a:ac:65:13:1d:32 33:33:00:00:00:02 2
packet in 3 36:90:ca:2b:a6:45 33:33:00:00:00:fb 2
packet in 1 aa:f5:69:ad:b7:a9 33:33:00:00:00:02 2
