loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 2 02:35:fb:47:cd:19 8e:e7:e0:e0:87:bc 2
packet in 1 02:35:fb:47:cd:19 ff:ff:ff:ff:ff:ff 1
packet in 2 02:35:fb:47:cd:19 ff:ff:ff:ff:ff:ff 2
packet in 3 02:35:fb:47:cd:19 ff:ff:ff:ff:ff:ff 2
packet in 3 c6:1d:a7:1f:c8:8b 02:35:fb:47:cd:19 1
packet in 2 c6:1d:a7:1f:c8:8b 02:35:fb:47:cd:19 3
packet in 1 c6:1d:a7:1f:c8:8b 02:35:fb:47:cd:19 2
packet in 1 02:35:fb:47:cd:19 c6:1d:a7:1f:c8:8b 1
packet in 2 02:35:fb:47:cd:19 c6:1d:a7:1f:c8:8b 2
packet in 3 02:35:fb:47:cd:19 c6:1d:a7:1f:c8:8b 2
packet in 1 02:35:fb:47:cd:19 33:33:00:00:00:16 1
packet in 1 02:35:fb:47:cd:19 33:33:00:00:00:02 1
packet in 2 8e:e7:e0:e0:87:bc 33:33:00:00:00:16 1
packet in 2 8e:e7:e0:e0:87:bc 33:33:00:00:00:02 1
packet in 2 02:35:fb:47:cd:19 33:33:00:00:00:16 2
packet in 2 02:35:fb:47:cd:19 33:33:00:00:00:02 2
packet in 3 8e:e7:e0:e0:87:bc 33:33:00:00:00:16 2
packet in 3 8e:e7:e0:e0:87:bc 33:33:00:00:00:02 2
packet in 1 8e:e7:e0:e0:87:bc 33:33:00:00:00:16 2
packet in 1 8e:e7:e0:e0:87:bc 33:33:00:00:00:02 2
packet in 2 8e:e7:e0:e0:87:bc ff:ff:ff:ff:ff:ff 1
packet in 3 02:35:fb:47:cd:19 33:33:00:00:00:16 2
packet in 3 02:35:fb:47:cd:19 33:33:00:00:00:02 2
packet in 3 8e:e7:e0:e0:87:bc ff:ff:ff:ff:ff:ff 2
packet in 1 8e:e7:e0:e0:87:bc ff:ff:ff:ff:ff:ff 2
packet in 3 c6:1d:a7:1f:c8:8b 8e:e7:e0:e0:87:bc 1
packet in 2 c6:1d:a7:1f:c8:8b 8e:e7:e0:e0:87:bc 3
packet in 2 8e:e7:e0:e0:87:bc c6:1d:a7:1f:c8:8b 1
packet in 3 8e:e7:e0:e0:87:bc c6:1d:a7:1f:c8:8b 2
packet in 2 8e:e7:e0:e0:87:bc 33:33:00:00:00:16 1
packet in 1 8e:e7:e0:e0:87:bc 33:33:00:00:00:16 2
packet in 3 8e:e7:e0:e0:87:bc 33:33:00:00:00:16 2
packet in 1 ae:e4:55:16:64:5e 33:33:00:00:00:16 2
packet in 1 ae:e4:55:16:64:5e 33:33:00:00:00:02 2
packet in 2 3e:ee:01:5b:8d:1e 33:33:00:00:00:16 3
packet in 1 3e:ee:01:5b:8d:1e 33:33:00:00:00:16 2
packet in 1 ae:e4:55:16:64:5e 33:33:00:00:00:16 2
packet in 2 3e:ee:01:5b:8d:1e 33:33:00:00:00:fb 3
packet in 1 3e:ee:01:5b:8d:1e 33:33:00:00:00:fb 2
packet in 1 ae:e4:55:16:64:5e 33:33:00:00:00:fb 2
packet in 1 ae:e4:55:16:64:5e 33:33:00:00:00:fb 2
packet in 2 b6:6e:5a:74:d7:b3 33:33:00:00:00:16 2
packet in 2 b6:6e:5a:74:d7:b3 33:33:00:00:00:02 2
packet in 3 b6:6e:5a:74:d7:b3 33:33:00:00:00:16 2
packet in 3 b6:6e:5a:74:d7:b3 33:33:00:00:00:02 2
packet in 2 b6:6e:5a:74:d7:b3 33:33:00:00:00:16 2
packet in 3 b6:6e:5a:74:d7:b3 33:33:00:00:00:16 2
packet in 2 3e:ee:01:5b:8d:1e 33:33:00:00:00:fb 3
packet in 1 3e:ee:01:5b:8d:1e 33:33:00:00:00:fb 2
packet in 2 b6:6e:5a:74:d7:b3 33:33:00:00:00:fb 2
packet in 3 b6:6e:5a:74:d7:b3 33:33:00:00:00:fb 2
packet in 1 ae:e4:55:16:64:5e 33:33:00:00:00:fb 2
packet in 2 b6:6e:5a:74:d7:b3 33:33:00:00:00:fb 2
packet in 3 b6:6e:5a:74:d7:b3 33:33:00:00:00:fb 2
packet in 2 3e:ee:01:5b:8d:1e 33:33:00:00:00:16 3
packet in 1 3e:ee:01:5b:8d:1e 33:33:00:00:00:16 2
packet in 2 3e:ee:01:5b:8d:1e 33:33:00:00:00:fb 3
packet in 1 3e:ee:01:5b:8d:1e 33:33:00:00:00:fb 2
packet in 2 b6:6e:5a:74:d7:b3 33:33:00:00:00:fb 2
packet in 3 b2:90:f9:01:5c:52 33:33:00:00:00:16 2
packet in 3 b2:90:f9:01:5c:52 33:33:00:00:00:02 2
packet in 3 b6:6e:5a:74:d7:b3 33:33:00:00:00:fb 2
packet in 3 b2:90:f9:01:5c:52 33:33:00:00:00:16 2
packet in 1 ae:e4:55:16:64:5e 33:33:00:00:00:fb 2
packet in 3 b2:90:f9:01:5c:52 33:33:00:00:00:16 2
packet in 2 b6:6e:5a:74:d7:b3 33:33:00:00:00:16 2
packet in 3 b2:90:f9:01:5c:52 33:33:00:00:00:fb 2
packet in 3 b6:6e:5a:74:d7:b3 33:33:00:00:00:16 2
packet in 3 c6:1d:a7:1f:c8:8b 33:33:00:00:00:16 1
packet in 3 c6:1d:a7:1f:c8:8b 33:33:00:00:00:02 1
packet in 2 c6:1d:a7:1f:c8:8b 33:33:00:00:00:16 3
packet in 2 c6:1d:a7:1f:c8:8b 33:33:00:00:00:02 3
packet in 1 c6:1d:a7:1f:c8:8b 33:33:00:00:00:16 2
packet in 1 c6:1d:a7:1f:c8:8b 33:33:00:00:00:02 2
packet in 3 b2:90:f9:01:5c:52 33:33:00:00:00:fb 2
packet in 1 02:35:fb:47:cd:19 33:33:00:00:00:16 1
packet in 3 c6:1d:a7:1f:c8:8b 33:33:00:00:00:16 1
packet in 2 02:35:fb:47:cd:19 33:33:00:00:00:16 2
packet in 2 c6:1d:a7:1f:c8:8b 33:33:00:00:00:16 3
packet in 3 02:35:fb:47:cd:19 33:33:00:00:00:16 2
packet in 1 c6:1d:a7:1f:c8:8b 33:33:00:00:00:16 2
packet in 1 ae:e4:55:16:64:5e 33:33:00:00:00:fb 2
packet in 2 b6:6e:5a:74:d7:b3 33:33:00:00:00:fb 2
packet in 3 b6:6e:5a:74:d7:b3 33:33:00:00:00:fb 2
packet in 2 3e:ee:01:5b:8d:1e 33:33:00:00:00:fb 3
packet in 1 3e:ee:01:5b:8d:1e 33:33:00:00:00:fb 2
packet in 1 ae:e4:55:16:64:5e 33:33:00:00:00:16 2
packet in 3 b2:90:f9:01:5c:52 33:33:00:00:00:fb 2
packet in 1 ae:e4:55:16:64:5e 33:33:00:00:00:16 2
packet in 2 b6:6e:5a:74:d7:b3 33:33:00:00:00:fb 2
packet in 3 b6:6e:5a:74:d7:b3 33:33:00:00:00:fb 2
packet in 1 ae:e4:55:16:64:5e 33:33:00:00:00:fb 2
packet in 3 b2:90:f9:01:5c:52 33:33:00:00:00:fb 2
packet in 2 b6:6e:5a:74:d7:b3 33:33:00:00:00:16 2
packet in 3 b6:6e:5a:74:d7:b3 33:33:00:00:00:16 2
packet in 3 b2:90:f9:01:5c:52 33:33:00:00:00:fb 2
packet in 2 b6:6e:5a:74:d7:b3 33:33:00:00:00:fb 2
packet in 3 b6:6e:5a:74:d7:b3 33:33:00:00:00:fb 2
packet in 2 3e:ee:01:5b:8d:1e 33:33:00:00:00:fb 3
packet in 1 3e:ee:01:5b:8d:1e 33:33:00:00:00:fb 2
packet in 3 b2:90:f9:01:5c:52 33:33:00:00:00:16 2
packet in 3 b2:90:f9:01:5c:52 33:33:00:00:00:fb 2
packet in 1 ae:e4:55:16:64:5e 33:33:00:00:00:fb 2
packet in 2 b6:6e:5a:74:d7:b3 33:33:00:00:00:fb 2
packet in 3 b6:6e:5a:74:d7:b3 33:33:00:00:00:fb 2
packet in 3 b2:90:f9:01:5c:52 33:33:00:00:00:fb 2
packet in 2 3e:ee:01:5b:8d:1e 33:33:00:00:00:fb 3
packet in 1 3e:ee:01:5b:8d:1e 33:33:00:00:00:fb 2
packet in 1 ae:e4:55:16:64:5e 33:33:00:00:00:fb 2
packet in 2 b6:6e:5a:74:d7:b3 33:33:00:00:00:fb 2
packet in 3 b6:6e:5a:74:d7:b3 33:33:00:00:00:fb 2
packet in 2 3e:ee:01:5b:8d:1e 33:33:00:00:00:fb 3
packet in 1 3e:ee:01:5b:8d:1e 33:33:00:00:00:fb 2
packet in 3 b2:90:f9:01:5c:52 33:33:00:00:00:fb 2
packet in 1 ae:e4:55:16:64:5e 33:33:00:00:00:fb 2
packet in 2 3e:ee:01:5b:8d:1e 33:33:00:00:00:02 3
packet in 1 3e:ee:01:5b:8d:1e 33:33:00:00:00:02 2
packet in 2 8e:e7:e0:e0:87:bc 33:33:00:00:00:02 1
packet in 1 8e:e7:e0:e0:87:bc 33:33:00:00:00:02 2
packet in 3 8e:e7:e0:e0:87:bc 33:33:00:00:00:02 2
packet in 2 b6:6e:5a:74:d7:b3 33:33:00:00:00:fb 2
packet in 3 b6:6e:5a:74:d7:b3 33:33:00:00:00:fb 2
packet in 1 02:35:fb:47:cd:19 33:33:00:00:00:02 1
packet in 1 ae:e4:55:16:64:5e 33:33:00:00:00:02 2
packet in 2 b6:6e:5a:74:d7:b3 33:33:00:00:00:02 2
packet in 2 02:35:fb:47:cd:19 33:33:00:00:00:02 2
packet in 3 b6:6e:5a:74:d7:b3 33:33:00:00:00:02 2
packet in 3 02:35:fb:47:cd:19 33:33:00:00:00:02 2
packet in 3 b2:90:f9:01:5c:52 33:33:00:00:00:fb 2
packet in 3 b2:90:f9:01:5c:52 33:33:00:00:00:02 2
packet in 3 c6:1d:a7:1f:c8:8b 33:33:00:00:00:02 1
packet in 2 c6:1d:a7:1f:c8:8b 33:33:00:00:00:02 3
packet in 1 c6:1d:a7:1f:c8:8b 33:33:00:00:00:02 2
