loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 2 a2:1c:ef:2a:dc:85 33:33:00:00:00:02 2
packet in 3 a2:1c:ef:2a:dc:85 33:33:00:00:00:16 2
packet in 3 a2:1c:ef:2a:dc:85 33:33:00:00:00:02 2
packet in 2 7e:dd:06:22:c9:31 33:33:00:00:00:fb 3
packet in 1 7e:dd:06:22:c9:31 33:33:00:00:00:fb 2
packet in 2 2e:cc:78:a2:41:30 33:33:00:00:00:16 2
packet in 2 2e:cc:78:a2:41:30 33:33:00:00:00:02 2
packet in 3 2e:cc:78:a2:41:30 33:33:00:00:00:16 2
packet in 3 2e:cc:78:a2:41:30 33:33:00:00:00:02 2
packet in 2 2e:cc:78:a2:41:30 33:33:00:00:00:16 2
packet in 3 2e:cc:78:a2:41:30 33:33:00:00:00:16 2
packet in 2 2e:cc:78:a2:41:30 33:33:00:00:00:fb 2
packet in 1 62:ee:46:20:81:f1 33:33:00:00:00:16 2
packet in 1 62:ee:46:20:81:f1 33:33:00:00:00:02 2
packet in 3 2e:cc:78:a2:41:30 33:33:00:00:00:fb 2
packet in 1 62:ee:46:20:81:f1 33:33:00:00:00:16 2
packet in 2 7e:dd:06:22:c9:31 33:33:00:00:00:16 3
packet in 2 2e:cc:78:a2:41:30 33:33:00:00:00:fb 2
packet in 1 7e:dd:06:22:c9:31 33:33:00:00:00:16 2
packet in 3 2e:cc:78:a2:41:30 33:33:00:00:00:fb 2
packet in 2 7e:dd:06:22:c9:31 33:33:00:00:00:16 3
packet in 1 62:ee:46:20:81:f1 33:33:00:00:00:fb 2
packet in 1 7e:dd:06:22:c9:31 33:33:00:00:00:16 2
packet in 1 62:ee:46:20:81:f1 33:33:00:00:00:fb 2
packet in 3 42:f8:9f:11:8c:b5 33:33:00:00:00:16 2
packet in 3 42:f8:9f:11:8c:b5 33:33:00:00:00:02 2
packet in 3 42:f8:9f:11:8c:b5 33:33:00:00:00:16 2
packet in 2 7e:dd:06:22:c9:31 33:33:00:00:00:fb 3
packet in 1 7e:dd:06:22:c9:31 33:33:00:00:00:fb 2
packet in 3 42:f8:9f:11:8c:b5 33:33:00:00:00:fb 2
packet in 3 42:f8:9f:11:8c:b5 33:33:00:00:00:fb 2
packet in 2 2e:cc:78:a2:41:30 33:33:00:00:00:fb 2
packet in 3 2e:cc:78:a2:41:30 33:33:00:00:00:fb 2
packet in 1 a2:1c:ef:2a:dc:85 33:33:00:00:00:16 1
packet in 2 a2:1c:ef:2a:dc:85 33:33:00:00:00:16 2
packet in 3 a2:1c:ef:2a:dc:85 33:33:00:00:00:16 2
packet in 3 a6:4a:bf:e3:98:41 33:33:00:00:00:16 1
packet in 2 2e:cc:78:a2:41:30 33:33:00:00:00:16 2
packet in 2 a6:4a:bf:e3:98:41 33:33:00:00:00:16 3
packet in 3 2e:cc:78:a2:41:30 33:33:00:00:00:16 2
packet in 1 a6:4a:bf:e3:98:41 33:33:00:00:00:16 2
packet in 1 62:ee:46:20:81:f1 33:33:00:00:00:fb 2
packet in 2 7e:dd:06:22:c9:31 33:33:00:00:00:fb 3
packet in 1 7e:dd:06:22:c9:31 33:33:00:00:00:fb 2
packet in 3 42:f8:9f:11:8c:b5 33:33:00:00:00:fb 2
packet in 1 62:ee:46:20:81:f1 33:33:00:00:00:16 2
packet in 3 42:f8:9f:11:8c:b5 33:33:00:00:00:16 2
packet in 2 2e:cc:78:a2:41:30 33:33:00:00:00:fb 2
packet in 3 2e:cc:78:a2:41:30 33:33:00:00:00:fb 2
packet in 2 2e:cc:78:a2:41:30 33:33:00:00:00:16 2
packet in 3 2e:cc:78:a2:41:30 33:33:00:00:00:16 2
packet in 1 62:ee:46:20:81:f1 33:33:00:00:00:fb 2
packet in 3 42:f8:9f:11:8c:b5 33:33:00:00:00:fb 2
packet in 2 2e:cc:78:a2:41:30 33:33:00:00:00:fb 2
packet in 3 2e:cc:78:a2:41:30 33:33:00:00:00:fb 2
packet in 2 7e:dd:06:22:c9:31 33:33:00:00:00:fb 3
packet in 1 7e:dd:06:22:c9:31 33:33:00:00:00:fb 2
packet in 1 62:ee:46:20:81:f1 33:33:00:00:00:16 2
packet in 1 62:ee:46:20:81:f1 33:33:00:00:00:fb 2
packet in 3 42:f8:9f:11:8c:b5 33:33:00:00:00:16 2
packet in 3 42:f8:9f:11:8c:b5 33:33:00:00:00:fb 2
packet in 2 2e:cc:78:a2:41:30 33:33:00:00:00:fb 2
packet in 3 2e:cc:78:a2:41:30 33:33:00:00:00:fb 2
packet in 1 62:ee:46:20:81:f1 33:33:00:00:00:fb 2
packet in 3 42:f8:9f:11:8c:b5 33:33:00:00:00:fb 2
packet in 2 7e:dd:06:22:c9:31 33:33:00:00:00:fb 3
packet in 1 7e:dd:06:22:c9:31 33:33:00:00:00:fb 2
packet in 2 2e:cc:78:a2:41:30 33:33:00:00:00:fb 2
packet in 3 2e:cc:78:a2:41:30 33:33:00:00:00:fb 2
packet in 1 62:ee:46:20:81:f1 33:33:00:00:00:fb 2
packet in 3 42:f8:9f:11:8c:b5 33:33:00:00:00:fb 2
packet in 2 7e:dd:06:22:c9:31 33:33:00:00:00:fb 3
packet in 1 7e:dd:06:22:c9:31 33:33:00:00:00:fb 2
packet in 2 2e:cc:78:a2:41:30 33:33:00:00:00:fb 2
packet in 3 2e:cc:78:a2:41:30 33:33:00:00:00:fb 2
packet in 2 aa:3b:ad:bc:d4:67 33:33:00:00:00:02 1
packet in 1 62:ee:46:20:81:f1 33:33:00:00:00:fb 2
packet in 1 aa:3b:ad:bc:d4:67 33:33:00:00:00:02 2
packet in 3 aa:3b:ad:bc:d4:67 33:33:00:00:00:02 2
packet in 3 42:f8:9f:11:8c:b5 33:33:00:00:00:fb 2
packet in 2 7e:dd:06:22:c9:31 33:33:00:00:00:fb 3
packet in 1 7e:dd:06:22:c9:31 33:33:00:00:00:fb 2
packet in 2 2e:cc:78:a2:41:30 33:33:00:00:00:fb 2
packet in 3 2e:cc:78:a2:41:30 33:33:00:00:00:fb 2
packet in 1 62:ee:46:20:81:f1 33:33:00:00:00:fb 2
packet in 3 a6:4a:bf:e3:98:41 33:33:00:00:00:02 1
packet in 3 42:f8:9f:11:8c:b5 33:33:00:00:00:02 2
packet in 2 2e:cc:78:a2:41:30 33:33:00:00:00:02 2
packet in 2 a6:4a:bf:e3:98:41 33:33:00:00:00:02 3
packet in 3 2e:cc:78:a2:41:30 33:33:00:00:00:02 2
packet in 1 a6:4a:bf:e3:98:41 33:33:00:00:00:02 2
packet in 3 42:f8:9f:11:8c:b5 33:33:00:00:00:fb 2
packet in 1 62:ee:46:20:81:f1 33:33:00:00:00:02 2
packet in 2 7e:dd:06:22:c9:31 33:33:00:00:00:02 3
packet in 1 7e:dd:06:22:c9:31 33:33:00:00:00:02 2
packet in 1 a2:1c:ef:2a:dc:85 33:33:00:00:00:02 1
packet in 2 a2:1c:ef:2a:dc:85 33:33:00:00:00:02 2
packet in 3 a2:1c:ef:2a:dc:85 33:33:00:00:00:02 2
